[2024-03-24 11:27:40,018] 149 root - ERROR - An error occurred: error reading the PDF file
[2024-03-24 11:29:46,730] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-03-24 11:29:48,094] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-03-24 11:29:48,096] 212 root - INFO - Total Tokens: 1244
[2024-03-24 11:29:48,096] 213 root - INFO - Prompt Tokens: 948
[2024-03-24 11:29:48,096] 214 root - INFO - Completion Tokens: 296
[2024-03-24 11:29:48,096] 215 root - INFO - Total Cost: 0.002014
[2024-03-24 11:30:17,299] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-03-24 11:30:18,303] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-03-24 11:30:18,303] 212 root - INFO - Total Tokens: 1232
[2024-03-24 11:30:18,303] 213 root - INFO - Prompt Tokens: 946
[2024-03-24 11:30:18,303] 214 root - INFO - Completion Tokens: 286
[2024-03-24 11:30:18,303] 215 root - INFO - Total Cost: 0.0019909999999999997
[2024-03-24 11:31:28,261] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-03-24 11:31:29,581] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2024-03-24 11:31:29,581] 216 root - INFO - Total Tokens: 1220
[2024-03-24 11:31:29,581] 217 root - INFO - Prompt Tokens: 935
[2024-03-24 11:31:29,581] 218 root - INFO - Completion Tokens: 285
[2024-03-24 11:31:29,581] 219 root - INFO - Total Cost: 0.0019725
[2024-03-24 11:37:55,240] 80 root - ERROR - An error occurred: name 'RESPONSE_JSON' is not defined
[2024-03-24 11:37:57,570] 80 root - ERROR - An error occurred: name 'RESPONSE_JSON' is not defined
[2024-03-24 11:38:26,533] 1013 httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
